title,label
tried pay 1 trillion handing 1 per second would take 31000 years,1
matt damons publicist forced deny reports actor moving australia cant stand donald trump,0
lindsay shookus breakup ben affleck reportedly hard let hit bottom,0
royal fans think charles isnt harrys real father dianas exlover something say,0
introducing donald trump former new york city mayor rudy giuliani omitted september 11 2001 strikes successful terrorist attack eight years president obamas 2008 election,1
iranian official drops bombshell obama secretly gave citizenship 2500 iranians part nuke deal,0
new jersey highest property taxes nation little highest property taxes nation double national average,1
weve seen antiwomens choice bills introduced first half session weve seen last three general assemblies,1
150000 oil spill claims filed floridians 40 percent paid,1
harry reid nuclear option mitch mcconnell president obama,1
bipartisan background check amendment outlawed gun registry plain simple right text,1
entire state florida led nation last year prison inmates committing tax fraud,1
jennifer aniston reportedly filled furious rage news emma stone justin therouxs rumored romance,0
never alderman defeated incumbent mayor history great city,1
judicial system underfunded state able pay 52 percent obligations meanwhile judges get richest pensions public employees,1
meghan markle proved dominance kate middleton could worth 14 billion british economy,0
ratio corporate profits wages higher time since great depression,1
racial ethnic makeup gwinnett county sheriffs office mirrors community serves,1
haiti official getting ready testify clinton foundation corruption next week found dead gunshot head,0
says madison mayor paul soglins stated intent proposing city contractors disclose private political donations discourage contributions organizations disagrees,1
since oregons prescriptiononly law took effect meth lab incidents dropped 96 percent methrelated arrests 32 percent,1
prince william may attend royal wedding leaving harry without best man princess diana would happy,0
mariah carey reportedly proposed bf bryan tanaka super romantic song wedding plans revealed,0
dekalb county cut money general fund budget local government atlanta metro region,1
know statistically take sat second time one third people take sat even theyve studying get lower score first time around,1
sixth year recovery median income start recovery,1
department education officials investigating virginia tech shootings gotten car driven blacksburg talk police chief university president anyone else,1
jennifer garner suspicious ben afflecks relationship elizabeth weaver estranged couple well debunked,0
2005 percentage texas high school students meeting college readiness standards texas higher education coordinating board stood 28 english 42 math figures stood 65 66 2013,1
rosie huntingtonwhiteley jason statham engaged model debuts giant diamond ring 2016 golden globes,0
government shuts military personnel continue serve accrue pay actually paid appropriations available,1
beyonce absolute diva invited everyone mansion ignored guests,0
says barack obama said running office four years ago would halve annual deficit end first term simply happened,1
since 1980 145 incidents documented suction entrapment swimming pools spas including 36 deaths children,1
mccain opposed requirement government buy americanmade motorcycles said buyamerican provisions quote disgraceful,1
poll conducted egypt revealed 80 percent egyptians oppose receiving foreign aid united states,1
mila kunis blasts perez hilton internet trolling celebrity reporting crumblinggossip site,0
real life beyonc jayz reveal work saved marriage new album,0
ohio meeting obligation update voter registrations voters change address bmv,1
crown star vanessa kirby addresses rumors shes dating tom cruise discusses meghan markle changing royal family,0
buffett rule bring less 5 billion per year enough pay one weeks interest national debt,1
never death caused commercial nuclear reactor united states even three mile island failed 1970s,1
says first eight chosen draw austin city council districts seven democratic primary voters one republican primary voter,1
jennifer hudson warned miley cyrus never mention exs name voice set weeks split exclusive,0
says one four women one seven men victims domestic violence lifetime,1
washington hide fact congress hiked national debt ceiling 143 trillion hide fact budget theyre going forward 5 trillion debt next five years,1
things messy behind scenes live kelly ryan ryan seacrest leave kelly ripa dust,0
brad pitt jennifer aniston rekindle romance despite justin theroux love duo caught kissing rumors,0
legislature never given opportunity debate vote loaning 75 million 38 studios,1
president obama campaigned promise put reproductive health care center reform plan,1
says 24 million people country cant find fulltime job 50 million cant see doctor theyre sick 47 million people need government help feed 15 million families owe value home,1
meghan markle finds prince harry cant stop jealous kate middleton princesses royal feud rumor,0
nevada recently ranked 1 unemployment foreclosures violent crime personal bankruptcy divorce,1
2007 top 1 percent income earners united states made 235 percent income entire bottom 50 percent,1
selena going become mrs bieber justin bieber selena gomez could getting married barbados,0
julianne hough brooks laichs wedding weekend photos every detail see special days,0
caitlyn jenner confrontation kardashians pay per view tv special lonely mothers day new date know married biography,0
taylor swift spending millions dollars millions dollars boyfriend joe alwyn despite report,0
buono voted 154 times raise taxes like sales tax income tax health care taxes even small business taxes,1
fans blast kylie jenner travis scott looking bored jennifer lopezs epic vmas performance,0
says max carries 30 percent evening rushhour commuters traveling downtown sunset banfield freeways,1
caitlyn jenner pushing kanye west presidency campaign amid kardashian backlash trump support,0
nuclear test conducted nation time earths 2054th nuclear test five permanent members un security council conducted 9999 percent total nuclear tests,1
kylie jenner loves ferrari push present travis scott refuses drive keep stormi safe,0
mariah carey reportedly proposed bf bryan tanaka super romantic song wedding plans revealed,0
replacing 100000 old toilets waterefficient models saved 24 million gallons water every day,1
