title,label
"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years.",1
Matt Damon’s publicist forced to deny reports actor is moving to Australia because he can't stand Donald Trump,0
Lindsay Shookus' breakup from Ben Affleck was reportedly 'very hard': 'She had to let him hit bottom',0
Royal Fans Think Charles Isn't Harry's Real Father — and Diana's Ex-Lover Has Something to Say About It,0
"While introducing Donald Trump, former New York City Mayor Rudy Giuliani omitted the September 11, 2001, strikes as a successful terrorist attack during the eight years before President Obamas 2008 election.",1
Iranian Official Drops Bombshell: Obama Secretly Gave Citizenship to 2500 Iranians as Part of Nuke Deal,0
"New Jersey has the highest property taxes in the nation and not by a little. They are the highest property taxes in the nation, more than double the national average.",1
Weve seen more anti-womens choice bills introduced in the first half of this session than weve seen in the last three General Assemblies.,1
"150,000 (oil spill) claims have been filed by Floridians, but only 40 percent of them have been paid.",1
Harry Reid was against (the nuclear option) before he was for it. Mitch McConnell was for it before he was against it. President Obama was against it before he was for it.,1
"A bipartisan background check amendment outlawed any (gun) registry. Plain and simple, right there in the text.",1
The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.,1
Jennifer Aniston is reportedly filled with 'furious rage' over the news of Emma Stone and Justin Theroux's rumored romance,0
There has never been an alderman who has defeated an incumbent mayor in the history of this great city.,1
"The judicial system is the most underfunded in this state, able to only pay 52 percent of its obligations. Meanwhile, judges get some of the richest pensions of all public employees.",1
Meghan Markle just proved her dominance over Kate Middleton -- and it could be worth up to $1.4 billion to the British economy,0
The ratio of corporate profits to wages is now higher than at any time since just before the Great Depression.,1
The racial and ethnic makeup of the Gwinnett County Sheriffs Office mirrors the community it serves.,1
"Haiti Official Getting Ready To Testify Against Clinton Foundation Corruption NEXT WEEK, Found DEAD With “Gunshot to the head”",0
Says Madison Mayor Paul Soglins stated intent when proposing that city contractors disclose private political donations was to discourage contributions to organizations with which he disagrees.,1
"Since Oregons prescription-only law took effect, meth lab incidents have dropped by 96 percent and meth-related arrests by 32 percent.",1
Prince William May Not Attend Royal Wedding Leaving Harry Without a Best Man; Princess Diana Would Not Be Happy,0
Mariah Carey Reportedly Proposed To BF Bryan Tanaka With Super Romantic Song: Wedding Plans Revealed,0
DeKalb County has cut more money from its general fund budget than any local government in the Atlanta metro region.,1
"Do you know that, statistically, when you take the SAT a second time, one third of the people that take the SAT, even if theyve been studying, will get a lower score than they did the first time around?",1
"We are in the sixth year of recovery, and median income is below what it was at the start of the recovery.",1
Department of Education officials investigating Virginia Tech shootings have not once gotten into the car and driven down to Blacksburg to talk to the police chief or the university president or to anyone else.,1
"Jennifer Garner Is Not Suspicious Of Ben Affleck’s Relationship With Elizabeth Weaver, Estranged Couple Doing Well [Debunked]",0
"Before 2005, the percentage of Texas high school students meeting the college readiness standards of the Texas Higher Education Coordinating Board stood at 28% in English and 42% in math. Those figures stood at 65% and 66% in 2013.",1
Rosie Huntington-Whiteley and Jason Statham Are Engaged! Model Debuts Giant Diamond Ring at the 2016 Golden Globes,0
"If the government shuts down, all military personnel will continue to serve and accrue pay but will not actually be paid until appropriations are available.",1
Beyonce Is An 'ABSOLUTE DIVA' . . . She Invited EVERYONE To Her Mansion . . . And IGNORED ALL HER GUESTS!!!,0
Says Barack Obama said when he was running for office four years ago that he would halve the annual deficit by the end of his first term. That simply has not happened.,1
